gene,count,subclass,cutoff,resolution,type
KIR2DL1,46,KIR2,0,1,correct
KIR2DL1,48,KIR2,0,1,total
KIR2DL2,4,KIR2,0,1,correct
KIR2DL2,4,KIR2,0,1,total
KIR2DL3,39,KIR2,0,1,correct
KIR2DL3,40,KIR2,0,1,total
KIR2DL4,54,KIR2,0,1,correct
KIR2DL4,56,KIR2,0,1,total
KIR2DL5A,0,KIR2,0,1,correct
KIR2DL5A,0,KIR2,0,1,total
KIR2DL5B,0,KIR2,0,1,correct
KIR2DL5B,0,KIR2,0,1,total
KIR2DP1,49,KIR2,0,1,correct
KIR2DP1,50,KIR2,0,1,total
KIR2DS1,2,KIR2,0,1,correct
KIR2DS1,2,KIR2,0,1,total
KIR2DS2,2,KIR2,0,1,correct
KIR2DS2,2,KIR2,0,1,total
KIR2DS3,2,KIR2,0,1,correct
KIR2DS3,2,KIR2,0,1,total
KIR2DS4,39,KIR2,0,1,correct
KIR2DS4,42,KIR2,0,1,total
KIR2DS5,2,KIR2,0,1,correct
KIR2DS5,2,KIR2,0,1,total
KIR3DL1,33,KIR3,0,1,correct
KIR3DL1,40,KIR3,0,1,total
KIR3DL2,64,KIR3,0,1,correct
KIR3DL2,68,KIR3,0,1,total
KIR3DL3,66,KIR3,0,1,correct
KIR3DL3,72,KIR3,0,1,total
KIR3DP1,5,KIR3,0,1,correct
KIR3DP1,6,KIR3,0,1,total
KIR3DS1,0,KIR3,0,1,correct
KIR3DS1,0,KIR3,0,1,total
