CYP,gene,ALD,type
HLA-A,CYP2D6,0.271883339456152,CYP2D6 & HLA
HLA-B,CYP2D6,0.255978676062968,CYP2D6 & HLA
HLA-C,CYP2D6,0.268711093586787,CYP2D6 & HLA
HLA-DMA,CYP2D6,0.130762649939924,CYP2D6 & HLA
HLA-DMB,CYP2D6,0.135949358978094,CYP2D6 & HLA
HLA-DOA,CYP2D6,0.230913240148157,CYP2D6 & HLA
HLA-DOB,CYP2D6,0.123648659798502,CYP2D6 & HLA
HLA-DPA1,CYP2D6,0.207629485935863,CYP2D6 & HLA
HLA-DPA2,CYP2D6,0.111265668711317,CYP2D6 & HLA
HLA-DPB1,CYP2D6,0.264014971438296,CYP2D6 & HLA
HLA-DPB2,CYP2D6,0.115835244874651,CYP2D6 & HLA
HLA-DQA1,CYP2D6,0.232593584460519,CYP2D6 & HLA
HLA-DQA2,CYP2D6,0.130742305925381,CYP2D6 & HLA
HLA-DQB1,CYP2D6,0.266950786879858,CYP2D6 & HLA
HLA-DQB2,CYP2D6,0.142880239252204,CYP2D6 & HLA
HLA-DRA,CYP2D6,0.218240383076459,CYP2D6 & HLA
HLA-DRB1,CYP2D6,0.249507593335585,CYP2D6 & HLA
HLA-DRB3,CYP2D6,0.177368634240673,CYP2D6 & HLA
HLA-DRB4,CYP2D6,0.147268224601014,CYP2D6 & HLA
HLA-DRB5,CYP2D6,0.114474657885098,CYP2D6 & HLA
HLA-E,CYP2D6,0.143577686393648,CYP2D6 & HLA
HLA-F,CYP2D6,0.223815568533294,CYP2D6 & HLA
HLA-G,CYP2D6,0.266395979774432,CYP2D6 & HLA
HLA-H,CYP2D6,0.207815477219685,CYP2D6 & HLA
HLA-J,CYP2D6,0.157561597653545,CYP2D6 & HLA
HLA-K,CYP2D6,0.115117675018396,CYP2D6 & HLA
HLA-L,CYP2D6,0.074007976037543,CYP2D6 & HLA
HLA-P,CYP2D6,0.0866274689830172,CYP2D6 & HLA
HLA-T,CYP2D6,0.0871753979754585,CYP2D6 & HLA
HLA-U,CYP2D6,0.0907072165913013,CYP2D6 & HLA
HLA-W,CYP2D6,0.123899562275034,CYP2D6 & HLA
KIR2DL1,CYP2D6,0.258801568415674,CYP2D6 & KIR
KIR2DL3,CYP2D6,0.184121711401187,CYP2D6 & KIR
KIR2DL4,CYP2D6,0.242385806469055,CYP2D6 & KIR
KIR2DP1,CYP2D6,0.299449139014162,CYP2D6 & KIR
KIR2DS4,CYP2D6,0.163439577016799,CYP2D6 & KIR
KIR3DL1,CYP2D6,0.271501689925021,CYP2D6 & KIR
KIR3DL2,CYP2D6,0.25921876196443,CYP2D6 & KIR
KIR3DL3,CYP2D6,0.275695097816567,CYP2D6 & KIR
MICA,CYP2D6,0.202074413334662,CYP2D6 & HLA
MICB,CYP2D6,0.159825743174232,CYP2D6 & HLA
TAP1,CYP2D6,0.0970020675754438,CYP2D6 & HLA
TAP2,CYP2D6,0.127502493591507,CYP2D6 & HLA
